playerid,yearid,stint,teamid,lgid,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,birthyear,birthmonth,birthday,namefirst,namelast,avg,slg,obp,ops,age,,
baezja01,2014,1,CHN,NL,52,213,25,36,6,0,9,20,5,1,15,95,0,1,0,0,5,1992,12,1,Javier,Baez,0.169014085,0.323943662,0.227074236,0.551017898,22,,
baezja01,2015,1,CHN,NL,28,76,4,22,6,0,1,4,1,2,4,24,1,0,0,0,0,1992,12,1,Javier,Baez,0.289473684,0.407894737,0.3375,0.745394737,23,,
baezja01,2016,1,CHN,NL,142,421,50,115,19,1,14,59,12,3,15,108,3,11,1,2,8,1992,12,1,Javier,Baez,0.273159145,0.42280285,0.320712695,0.743515545,24,,
baezja01,2017,1,CHN,NL,145,469,75,128,24,2,23,75,10,3,30,144,15,1,6,2,10,1992,12,1,Javier,Baez,0.272921109,0.479744136,0.346613546,0.826357682,25,,
baezja01,2018,1,CHN,NL,160,606,101,176,40,9,34,111,21,9,29,167,8,5,1,4,10,1992,12,1,Javier,Baez,0.290429043,0.554455446,0.338509317,0.892964762,26,,
baezja01,2019,1,CHN,NL,138,531,89,149,38,4,29,85,11,7,28,156,3,0,0,2,16,1992,12,1,Javier,Baez,0.280602637,0.531073446,0.320855615,0.851929061,27,,
baezja01,2020,1,CHN,NL,59,222,27,45,9,1,8,24,3,0,7,75,0,4,0,2,8,1992,12,1,Javier,Baez,0.202702703,0.36036036,0.238297872,0.598658233,28,,
bogaexa01,2013,1,BOS,AL,18,44,7,11,2,0,1,5,1,0,5,13,0,0,0,1,1,1992,10,1,Xander,Bogaerts,0.25,0.363636364,0.32,0.683636364,21,,
bogaexa01,2014,1,BOS,AL,144,538,60,129,28,1,12,46,2,3,39,138,1,8,2,7,11,1992,10,1,Xander,Bogaerts,0.239776952,0.362453532,0.298986486,0.661440018,22,,
bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101,1,3,3,3,16,1992,10,1,Xander,Bogaerts,0.319738989,0.420880914,0.356374808,0.777255722,23,,
